equipment,create_time,location,loc_count
五岳TAZ3090,"2017-02-27 00:00:00",四川,1
五岳TAZ3090,"2017-03-02 00:00:00",内蒙古,1
五岳TAZ3090,"2017-03-06 00:00:00",天津,1
五岳TAZ3090,"2017-03-13 00:00:00",上海,2
五岳TAZ3090,"2017-04-06 00:00:00",榆林,1
五岳TAZ3090,"2017-04-10 00:00:00",四川,1
五岳TAZ3090,"2017-04-17 00:00:00",甘肃,1
五岳TAZ3090,"2017-04-18 00:00:00",北京,1
五岳TAZ3090,"2017-04-30 00:00:00",汕头,1
五岳TAZ3090,"2017-05-23 00:00:00",陕西,1
五岳TAZ3090,"2017-05-29 00:00:00",北京,1
五岳TAZ3090,"2017-06-06 00:00:00",西安,1
五岳TAZ3090,"2017-06-21 00:00:00",四川,1
五岳TAZ3090,"2017-06-25 00:00:00",南昌,1
五岳TAZ3090,"2017-06-26 00:00:00",南京,1
五岳TAZ3090,"2017-07-03 00:00:00",郑州,1
五岳TAZ3090,"2017-07-06 00:00:00",西宁,1
五岳TAZ3090,"2017-07-14 00:00:00",河北,1
别克赛欧,"2017-05-05 00:00:00",重庆,1
北汽勇士,"2017-01-02 00:00:00",天津,1
北汽勇士,"2017-01-14 00:00:00",天津,1
北汽勇士,"2017-01-15 00:00:00",天津,1
北汽勇士,"2017-01-15 00:00:00",湖南,1
北汽勇士,"2017-01-16 00:00:00",河北,1
北汽勇士,"2017-02-26 00:00:00",辽宁,1
北汽勇士,"2017-03-03 00:00:00",山海关,1
北汽勇士,"2017-04-25 00:00:00",北京,1
北汽勇士,"2017-05-06 00:00:00",太原,1
北汽勇士,"2017-05-08 00:00:00",北京,1
北汽勇士,"2017-05-26 00:00:00",北京,1
北汽勇士,"2017-05-26 00:00:00",四川,1
北汽勇士,"2017-05-26 00:00:00",大连,1
北汽勇士,"2017-05-29 00:00:00",北京,1
北汽勇士,"2017-06-06 00:00:00",河南,1
北起BCW5122JQZ,"2017-05-03 00:00:00",贵阳,1
北起BCW5122JQZ,"2017-06-08 00:00:00",西宁,1
北起BCW5122JQZ,"2017-07-10 00:00:00",吉林,1
北起CWY12,"2017-07-09 00:00:00",北京,1
奇瑞SQR7160ET车,"2017-05-01 00:00:00",北京,1
奔驰2026,"2017-03-09 00:00:00",太原,1
奔驰2026,"2017-03-26 00:00:00",天津,1
奔驰2026（6×6）8吨级越野车,"2017-04-18 00:00:00",四川,1
奔驰2026（6×6）8吨级越野车,"2017-05-06 00:00:00",辽宁,1
奥迪A1,"2017-01-23 00:00:00",北京,1
奥迪A1,"2017-03-03 00:00:00",贵州,1
奥迪A1,"2017-03-09 00:00:00",青海,1
奥迪A1,"2017-03-18 00:00:00",四川,1
奥迪A1,"2017-04-05 00:00:00",广州,1
奥迪A1,"2017-04-18 00:00:00",北京,1
奥迪A1,"2017-04-18 00:00:00",四川,1
奥迪A1,"2017-04-19 00:00:00",北京,1
奥迪A1,"2017-04-22 00:00:00",南昌,1
奥迪A1,"2017-05-01 00:00:00",长春,1
奥迪A1,"2017-05-09 00:00:00",武汉,1
奥迪A1,"2017-07-22 00:00:00",重庆,1
奥迪A2,"2017-01-04 00:00:00",吉林,1
奥迪A2,"2017-03-18 00:00:00",北京,1
奥迪A2,"2017-07-08 00:00:00",黑龙江,1
奥迪A3,"2017-01-14 00:00:00",天津,1
奥迪A3,"2017-05-06 00:00:00",辽宁,1
奥迪A5,"2017-01-12 00:00:00",吉林,1
奥迪A5,"2017-01-16 00:00:00",辽宁,1
奥迪A6,"2017-02-07 00:00:00",北京,1
奥迪A6,"2017-03-13 00:00:00",上海,1
奥迪A6,"2017-03-18 00:00:00",北京,1
奥迪A6,"2017-04-28 00:00:00",黑龙江,1
奥迪A6,"2017-05-19 00:00:00",北京,1
奥迪A6,"2017-07-14 00:00:00",河北,1
奥迪Q3,"2017-02-05 00:00:00",吉林,1
帕萨特,"2017-05-01 00:00:00",沈阳,1
帕萨特B4,"2017-05-10 00:00:00",上海,1
帕萨特B4,"2017-06-09 00:00:00",浙江,1
日产蓝鸟U13轿车,"2017-06-22 00:00:00",北京,1
机油泵驱动齿轮,"2017-02-23 00:00:00",南宁,1
松辽SLQ6502,"2017-03-31 00:00:00",桂林,1
松辽SLQ6502,"2017-04-14 00:00:00",大连,1
松辽SLQ6502,"2017-05-31 00:00:00",厦门,1
松辽YJ6501,"2017-02-05 00:00:00",济南,1
松辽YJ6501,"2017-04-25 00:00:00",石家庄,1
松辽YJ6501,"2017-05-03 00:00:00",北京,1
松辽YJ6501,"2017-05-03 00:00:00",天津,1
松辽YJ6501,"2017-05-03 00:00:00",洛阳,1
枭龙XL2060,"2017-01-15 00:00:00",吉林,1
枭龙XL2060,"2017-04-19 00:00:00",吉林,1
枭龙XL2060,"2017-05-04 00:00:00",吉林,1
枭龙XL2060,"2017-05-06 00:00:00",辽宁,1
枭龙XL2060,"2017-05-16 00:00:00",北京,1
枭龙XL2060,"2017-07-23 00:00:00",黑龙江,1
枭龙XL2060,"2017-08-19 00:00:00",北京,1
桑塔纳,"2017-06-09 00:00:00",浙江,1
桑塔纳2000GSi,"2017-06-26 00:00:00",重庆,1
毕加索ABS,"2017-03-01 00:00:00",河北,1
汉阳HY4320S半挂牵引车,"2017-02-05 00:00:00",广州,1
汉阳HY4320S半挂牵引车,"2017-02-08 00:00:00",上海,1
汉阳HY4320S半挂牵引车,"2017-03-23 00:00:00",上海,1
汉阳HY4320S半挂牵引车,"2017-04-04 00:00:00",沈阳,1
汉阳HY4320S半挂牵引车,"2017-04-13 00:00:00",河南,1
汉阳HY4320S半挂牵引车,"2017-04-21 00:00:00",苏州,1
汉阳HY4320S半挂牵引车,"2017-05-24 00:00:00",河南,1
汉阳HY4320S半挂牵引车,"2017-06-03 00:00:00",武汉,1
汉阳HY4320S半挂牵引车,"2017-06-05 00:00:00",汉阳,1
汉阳HY4320S半挂牵引车,"2017-07-16 00:00:00",上海,1
汉阳HY473AS半挂牵引车,"2017-01-01 00:00:00",北京,1
汉阳HY473AS半挂牵引车,"2017-01-14 00:00:00",湖南,1
汉阳HY473AS半挂牵引车,"2017-01-18 00:00:00",四川,1
汉阳HY473AS半挂牵引车,"2017-01-18 00:00:00",天津,2
汉阳HY473AS半挂牵引车,"2017-01-18 00:00:00",海南,1
汉阳HY473AS半挂牵引车,"2017-01-18 00:00:00",湖南,1
汉阳HY473AS半挂牵引车,"2017-03-13 00:00:00",河南,1
汉阳HY473AS半挂牵引车,"2017-05-19 00:00:00",北京,1
沈飞猎鹰,"2017-02-02 00:00:00",杭州,1
沈飞猎鹰,"2017-03-31 00:00:00",拉萨,1
沈飞猎鹰,"2017-04-12 00:00:00",天津,1
沈飞猎鹰,"2017-04-18 00:00:00",吉林,1
沈飞猎鹰,"2017-04-20 00:00:00",吉林,1
沈飞猎鹰,"2017-04-21 00:00:00",北京,1
海虹QYJ5,"2017-01-01 00:00:00",北京,1
海虹QYJ5,"2017-04-05 00:00:00",天津,1
海虹QYJ5,"2017-07-08 00:00:00",北京,1
燕京YJ6501,"2017-01-11 00:00:00",山东,1
燕京YJ6501,"2017-02-26 00:00:00",吉林,1
燕京YJ6501,"2017-02-28 00:00:00",扬州,1
燕京YJ6501,"2017-03-17 00:00:00",陕西,1
燕京YJ6501,"2017-04-30 00:00:00",临沂,1
燕京YJ6501,"2017-06-04 00:00:00",北京,1
燕京YJ6501,"2017-06-11 00:00:00",北京,1
燕京YJ6501,"2017-06-18 00:00:00",北京,1
燕京YJ6501,"2017-06-23 00:00:00",山西,1
燕京YJ6501,"2017-07-05 00:00:00",深圳,1
燕京YJ6501,"2017-07-07 00:00:00",西安,1
燕京YJ6501,"2017-08-19 00:00:00",四川,1
爱丽舍,"2017-07-02 00:00:00",济南,1
猎豹飞腾,"2017-01-15 00:00:00",上海,1
猎豹飞腾,"2017-01-15 00:00:00",河南,1
猎豹飞腾,"2017-01-15 00:00:00",湖南,1
猎豹飞腾,"2017-02-09 00:00:00",吉林,1
猎豹飞腾,"2017-03-25 00:00:00",杭州,1
猎豹飞腾,"2017-04-03 00:00:00",吉林,1
猎豹飞腾,"2017-04-09 00:00:00",洛阳,1
猎豹飞腾,"2017-04-30 00:00:00",福州,1
猎豹飞腾,"2017-05-06 00:00:00",济南,1
猎豹飞腾,"2017-05-15 00:00:00",河南,1
猎豹飞腾,"2017-05-29 00:00:00",北京,1
猎豹飞腾,"2017-06-21 00:00:00",四川,1
猎豹飞腾,"2017-07-14 00:00:00",四川,1
猎豹飞腾,"2017-07-16 00:00:00",上海,1
猎豹飞腾,"2017-07-17 00:00:00",河北,2
猎豹飞腾,"2017-07-17 00:00:00",河南,1
茶花KQC1042B,"2017-01-05 00:00:00",长春,1
茶花KQC1042B,"2017-02-05 00:00:00",大理,1
茶花KQC1042B,"2017-03-06 00:00:00",济南,1
茶花KQC1042B,"2017-05-31 00:00:00",武汉,1
解放CA1090,"2017-02-28 00:00:00",西安,1
解放CA1090,"2017-03-02 00:00:00",哈尔滨,1
解放CA1090,"2017-06-08 00:00:00",呼和浩特,1
解放CA1090汽车,"2017-01-13 00:00:00",北京,1
解放CA1091汽车,"2017-01-05 00:00:00",北京,3
解放CA1091汽车,"2017-01-07 00:00:00",北京,3
解放CA1092汽车,"2017-01-13 00:00:00",北京,1
赛欧,"2017-06-21 00:00:00",武汉,1
跃进NJ1041MS,"2017-01-01 00:00:00",北京,1
跃进NJ1041MS,"2017-02-02 00:00:00",大连,1
跃进NJ1041MS,"2017-03-26 00:00:00",西安,1
跃进NJ1041MS,"2017-05-03 00:00:00",银川,1
跃进NJ1041MS,"2017-05-08 00:00:00",青岛,1
跃进NJ1041MS,"2017-06-20 00:00:00",大庆,1
跃进NJ1041MS,"2017-07-01 00:00:00",北京,1
跃进NJ1041MS,"2017-07-06 00:00:00",贵阳,1
远达SCZ3090CA,"2017-06-11 00:00:00",甘肃,1
远达SCZ3090CA,"2017-07-14 00:00:00",河北,1
远达SCZ5090GJYEQ,"2017-03-09 00:00:00",成都,1
远达SCZ5090GJYEQ,"2017-05-09 00:00:00",西宁,1
远达SCZ5090GJYEQ,"2017-07-15 00:00:00",天津,1
远达SCZ5100,"2017-01-25 00:00:00",北京,1
远达SCZ5100,"2017-02-26 00:00:00",大连,1
远达SCZ5100,"2017-04-05 00:00:00",大连,1
远达SCZ5100,"2017-06-16 00:00:00",秦皇岛,1
铁马XC2200,"2017-02-09 00:00:00",青岛,1
铁马XC2200方舱车,"2017-01-16 00:00:00",河南,1
铁马XC2200方舱车,"2017-05-12 00:00:00",辽宁,1
铁马XC2200方舱车,"2017-07-10 00:00:00",河北,1
铁马XC2200舟桥车,"2017-01-01 00:00:00",北京,2
铁马XC2200舟桥车,"2017-01-19 00:00:00",辽宁,1
铁马XC2200舟桥车,"2017-03-03 00:00:00",新疆,1
铁马XC2200舟桥车,"2017-03-06 00:00:00",拉萨,1
铁马XC2200舟桥车,"2017-03-18 00:00:00",北京,1
铁马XC2200舟桥车,"2017-03-18 00:00:00",吉林,1
铁马XC2200舟桥车,"2017-03-19 00:00:00",辽宁,1
铁马XC2200舟桥车,"2017-03-28 00:00:00",重庆,1
铁马XC2200舟桥车,"2017-03-31 00:00:00",广州,1
铁马XC2200舟桥车,"2017-04-03 00:00:00",延安,1
铁马XC2200舟桥车,"2017-05-01 00:00:00",北京,1
铁马XC2200舟桥车,"2017-05-12 00:00:00",江苏,1
铁马XC2200舟桥车,"2017-06-06 00:00:00",武汉,1
铁马XC2200舟桥车,"2017-06-08 00:00:00",武汉,1
铁马XC2200载重车,"2017-01-01 00:00:00",黑龙江,1
铁马XC2200载重车,"2017-01-22 00:00:00",陕西,1
铁马XC2200载重车,"2017-01-23 00:00:00",河北,1
铁马XC2200载重车,"2017-03-02 00:00:00",南宁,1
铁马XC2200载重车,"2017-03-03 00:00:00",天津,1
铁马XC2200载重车,"2017-04-04 00:00:00",大连,1
铁马XC2200载重车,"2017-05-13 00:00:00",沈阳,1
铁马XC2200载重车,"2017-05-24 00:00:00",长沙,1
铁马XC2200载重车,"2017-06-06 00:00:00",合肥,1
铁马XC2200载重车,"2017-07-10 00:00:00",江苏,1
铁马XC2200载重车,"2017-07-16 00:00:00",上海,1
铁马XC2200载重车,"2017-07-16 00:00:00",河南,1
铁马XC2200载重车,"2017-07-17 00:00:00",河北,1
铁马XC2200载重车,"2017-07-19 00:00:00",河南,1
铁马XC2200载重车,"2017-08-10 00:00:00",北京,1
长丰猎豹,"2016-07-30 00:00:00",天津,1
长丰猎豹,"2017-03-25 00:00:00",江苏,1
长丰猎豹,"2017-04-05 00:00:00",上海,1
