tag_name,create_time,tag_count,line_type
怠速不稳,2017/7/22,1,故障
水温高,2017/1/18,3,故障
水温高,2017/1/22,1,故障
水温高,2017/2/5,1,故障
水温高,2017/2/26,1,故障
水温高,2017/2/28,1,故障
水温高,2017/4/25,1,故障
水温高,2017/6/6,3,故障
行驶无力,2017/2/19,4,故障
行驶无力,2017/3/12,6,故障
行驶无力,2017/4/9,6,故障
不懂保养汽车,2017/1/5,3,行为
不懂保养汽车,2017/1/18,1,行为
不懂保养汽车,2017/1/19,1,行为
不懂保养汽车,2017/2/19,6,行为
不懂保养汽车,2017/2/26,2,行为
不懂保养汽车,2017/3/1,2,行为
不懂保养汽车,2017/4/3,2,行为
不懂保养汽车,2017/4/4,1,行为
不懂保养汽车,2017/4/5,1,行为
不懂保养汽车,2017/4/20,1,行为
不懂保养汽车,2017/5/9,2,行为
不懂保养汽车,2017/5/12,2,行为
不懂保养汽车,2017/5/16,1,行为
不懂保养汽车,2017/5/23,2,行为
不懂保养汽车,2017/7/8,1,行为
不懂保养汽车,2017/7/9,1,行为
不懂保养汽车,2017/7/10,1,行为
不懂保养汽车,2017/7/16,3,行为
修理不当,2017/1/4,1,行为
修理不当,2017/1/11,1,行为
修理不当,2017/1/15,3,行为
修理不当,2017/1/21,1,行为
修理不当,2017/2/27,1,行为
修理不当,2017/3/18,3,行为
修理不当,2017/4/18,3,行为
修理不当,2017/4/29,1,行为
修理不当,2017/4/30,4,行为
修理不当,2017/5/10,1,行为
修理不当,2017/5/13,6,行为
修理不当,2017/5/19,1,行为
修理不当,2017/5/24,2,行为
修理不当,2017/5/29,2,行为
修理不当,2017/6/8,2,行为
修理不当,2017/6/18,2,行为
修理不当,2017/6/22,1,行为
修理不当,2017/6/23,1,行为
修理不当,2017/7/2,1,行为
修理不当,2017/7/3,1,行为
修理不当,2017/7/14,5,行为
修理不当,2017/7/23,1,行为
意外,2017/1/13,2,行为
意外,2017/1/16,2,行为
意外,2017/1/22,1,行为
意外,2017/2/2,1,行为
意外,2017/2/15,3,行为
意外,2017/2/28,2,行为
意外,2017/3/10,1,行为
意外,2017/3/17,1,行为
意外,2017/3/26,2,行为
意外,2017/4/12,1,行为
意外,2017/5/5,1,行为
意外,2017/5/6,3,行为
意外,2017/5/31,2,行为
意外,2017/6/3,1,行为
意外,2017/6/9,1,行为
意外,2017/6/21,2,行为
意外,2017/7/1,1,行为
意外,2017/7/5,1,行为
意外,2017/7/17,3,行为
意外,2017/8/1,2,行为
操作分心,2017/1/2,2,行为
操作分心,2017/1/23,1,行为
操作分心,2017/2/9,2,行为
操作分心,2017/3/2,1,行为
操作分心,2017/3/3,5,行为
操作分心,2017/3/12,7,行为
操作分心,2017/3/30,6,行为
操作分心,2017/4/9,4,行为
操作分心,2017/4/13,1,行为
操作分心,2017/4/19,1,行为
操作分心,2017/4/22,1,行为
操作分心,2017/4/25,1,行为
操作分心,2017/4/28,1,行为
操作分心,2017/5/26,1,行为
操作分心,2017/6/26,2,行为
没有阅读说明书,2017/1/1,8,行为
没有阅读说明书,2017/1/7,1,行为
没有阅读说明书,2017/1/30,3,行为
没有阅读说明书,2017/2/5,9,行为
没有阅读说明书,2017/3/6,1,行为
没有阅读说明书,2017/3/13,2,行为
没有阅读说明书,2017/3/31,1,行为
没有阅读说明书,2017/4/10,1,行为
没有阅读说明书,2017/4/17,1,行为
没有阅读说明书,2017/4/21,9,行为
没有阅读说明书,2017/5/1,10,行为
没有阅读说明书,2017/5/2,1,行为
没有阅读说明书,2017/5/3,1,行为
没有阅读说明书,2017/5/4,1,行为
没有阅读说明书,2017/5/8,4,行为
没有阅读说明书,2017/6/4,2,行为
没有阅读说明书,2017/6/6,3,行为
没有阅读说明书,2017/8/19,4,行为
